;IZAN;RADICAL;PLURIEL;NOR-NORI;;;;;;;;;;;
;NOR;;;NORI;;;;;;;;;;;
;;;;1;2;3;4;5;5;6;;;;;
1;na;tzai;;t;k/n;o;gu;zu;zuete;e;;;;;
2;ha;tzai;;t;k/n;o;gu;zu;zuete;e;;;;;
3;Ø;zai;;t;k/n;o;gu;zu;zuete;e;;;;;
4;ga;tzai;ski;t;k/n;o;gu;zu;zuete;e;;;;;
5;za;tzai;ski;t;k/n;o;gu;zu;zuete;e;;;;;
5;za;tzai;ski;t;k/n;o;gu;zu;zuete;e;;;;;
6;Ø;zai;ski;t;k/n;o;gu;zu;zuete;e;;;;;
;;;;;;;;;;;;;;;
;EDUN;PLURIEL;RADICAL;NOR-NORK;;;;;;;;;;;
;NOR;;;NORK;;;;;;;;;;;
;;;;1;2;3;4;5;5;6;;;;;
1;na;;u;t;k/n;Ø;gu;zu;ztezue;te;;;;;
2;ha;;u;t;k/n;Ø;gu;zu;ztezue;te;;;;;
3;d;;u;t;k/n;Ø;gu;zu;ztezue;te;;;;;
4;ga;it;u;t;k/n;Ø;gu;zu;ztezue;te;;;;;
5;za;it;u;t;k/n;Ø;gu;zu;ztezue;te;;;;;
5;za;it;u;t;k/n;Ø;gu;zu;ztezue;te;;;;;
6;d;it;u;t;k/n;Ø;gu;zu;ztezue;te;;;;;
;;;;;;;;;;;;;;;
;EDUN;;;;;;;;;;;;;;
;NOR;NORI;;;;;;;NORK;;;;;;
;;1;2;3;4;5;5;6;1;2;3;4;5;5;6
1;di(ski);t(da);k/n;o;gu;zu;zue;e;t;(a/na)k/n;Ø;gu;zu;zue;te
2;di(ski);t(da);k/n;o;gu;zu;zue;e;t;(a/na)k/n;Ø;gu;zu;zue;te
3;di(ski);t(da);k/n;o;gu;zu;zue;e;t;(a/na)k/n;Ø;gu;zu;zue;te
4;di(ski);t(da);k/n;o;gu;zu;zue;e;t;(a/na)k/n;Ø;gu;zu;zue;te
5;di(ski);t(da);k/n;o;gu;zu;zue;e;t;(a/na)k/n;Ø;gu;zu;zue;te
5;di(ski);t(da);k/n;o;gu;zu;zue;e;t;(a/na)k/n;Ø;gu;zu;zue;te
6;di(ski);t(da);k/n;o;gu;zu;zue;e;t;(a/na)k/n;Ø;gu;zu;zue;te
